drag,sent_time_ns,recv_time_ns,latency,currentThrust,currentTimestep,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
0,351170800051300,351170845974800,45923500,123191000.0,0,30628.52738619129,6446032.690811836,1074338.7818019725,7951371.472613809,45188045.85365853,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,63.31871171298348
21162.87234873467,351170941598100,351170957455800,15857700,123191000.0,1,30628.52738619129,6419779.667337958,1069963.2778896594,7920742.945227617,45467348.834968336,5.740288398370912,5.740288398370912,11.423338927364009,11.423338927364009,17.106389456357107,63.09198818503923
85412.61213504327,351171081179900,351171112952800,31772900,123191000.0,2,30628.52738619129,6393526.643864079,1065587.7739773463,7890114.417841426,45703564.948840566,5.792509782303528,5.792509782303528,17.215848709667537,17.215848709667537,34.32223816602465,62.90024031882154
193675.91162581768,351171223649400,351171239536700,15887300,123191000.0,3,30628.52738619129,6367273.620390201,1061212.270065033,7859485.890455235,45895767.50300832,5.839538125355673,5.839538125355673,23.05538683502321,23.05538683502321,57.37762500104786,62.744220354564604
346579.3852323482,351171379192700,351171397629400,18436700,123191000.0,4,30628.52738619129,6341020.596916323,1056836.76615272,7828857.3630690435,46043329.88306033,5.881232438881805,5.881232438881805,28.936619273905016,28.936619273905016,86.31424427495287,62.62443694502006
544436.0057446223,351171519726800,351171535680100,15953300,123191000.0,5,30628.52738619129,6314767.573442444,1052461.2622404068,7798228.835682852,46145939.1162066,5.917489738830655,5.917489738830655,34.85410901273567,34.85410901273567,121.16835328768855,62.54114414510265
787235.7079968007,351171660719600,351171706559800,45840200,123191000.0,6,30628.52738619129,6288514.549968566,1048085.7583280938,7767600.308296661,46203605.26761295,5.948247004710368,5.948247004710368,40.80235601744604,40.80235601744604,161.9707093051346,62.49433378443803
1074640.4397494195,351171833242100,351171864006400,30764300,123191000.0,7,30628.52738619129,6262261.526494687,1043710.2544157808,7736971.78091047,46216666.38951887,5.973482610282986,5.973482610282986,46.77583862772902,46.77583862772902,208.74654793286362,62.483731449928264
1405983.834658426,351171989724300,351172020780000,31055700,123191000.0,8,30628.52738619129,6236008.503020809,1039334.7505034677,7706343.253524278,46185788.84826839,5.993217188599356,5.993217188599356,52.769055816328375,52.769055816328375,261.515603749192,62.508796220285255
1780275.5691828388,351172177054700,351172206898700,29844000,123191000.0,9,30628.52738619129,6209755.479546931,1034959.2465911547,7675714.726138087,46111962.967402525,6.007513907516339,6.007513907516339,58.776569723844716,58.776569723844716,320.2921734730367,62.56872420274004
2196210.348340471,351172332835500,351172347693800,14858300,123191000.0,10,30628.52738619129,6183502.456073052,1030583.7426788417,7645086.198751896,45996494.04190343,6.016478146369706,6.016478146369706,64.79304787021442,64.79304787021442,385.08522134325113,62.66245582720861
2652181.3488092422,351172473454800,351172504146300,30691500,123191000.0,11,30628.52738619129,6157249.432599174,1026208.2387665287,7614457.671365704,45840988.89509319,6.020256579464483,6.020256579464483,70.81330444967891,70.81330444967891,455.89852579293006,62.788686758697324
3146297.8364813365,351172627836700,351172647189700,19353000,123191000.0,12,30628.52738619129,6130996.4091252955,1021832.7348542156,7583829.143979513,45647338.26107964,6.019035686915121,6.019035686915121,76.83234013659403,76.83234013659403,532.730865929524,62.94588219831024
3676406.573490233,351172816266400,351172831117300,14850900,123191000.0,13,30628.52738619129,6104743.385651417,1017457.2309419026,7553200.616593322,45417695.37772928,6.013039727549799,6.013039727549799,82.84537986414382,82.84537986414382,615.5762457936679,63.132294260352396
4240116.540785224,351172973724500,351173005667500,31943000,123191000.0,14,30628.52738619129,6078490.362177539,1013081.7270295896,7522572.0892071305,45154451.26409282,6.0025282215476965,6.0025282215476965,88.84790808569151,88.84790808569151,704.4241538793594,63.3459820408205
4834826.429714125,351173162107600,351173193935200,31827600,123191000.0,15,30628.52738619129,6052237.33870366,1008706.2231172766,7491943.561820939,44860207.228822455,5.98779300172932,5.98779300172932,94.83570108742083,94.83570108742083,799.2598549667803,63.584833933629525
5457754.302172077,351173319647100,351173349376600,29729500,123191000.0,16,30628.52738619129,6025984.315229782,1004330.7192049635,7461315.034434748,44537745.210023046,5.969154901579239,5.969154901579239,100.80485598900007,100.80485598900007,900.0647109557804,63.8465917071677
6105968.785145606,351173426268300,351173536760700,110492400,123191000.0,17,30628.52738619129,5999731.2917559035,999955.2152926505,7430686.507048557,44189996.58070805,5.9469601548646365,5.9469601548646365,106.75181614386472,106.75181614386472,1006.8165270996451,64.12887582639311
6776421.152425291,351173613579200,351173723478900,109899700,123191000.0,18,30628.52738619129,5973478.268282025,995579.7113803375,7400057.979662365,43820010.067086905,5.921576585956187,5.921576585956187,112.6733927298209,112.6733927298209,1119.489919829466,64.42921149508737
7465977.653429087,351173800985200,351173847689200,46704000,123191000.0,19,30628.52738619129,5947225.244808147,991204.2074680245,7369429.452276174,43430919.419741645,5.893389671615251,5.893389671615251,118.56678240143616,118.56678240143616,1238.0567022309021,64.74505489870067
8171451.47514789,351173988347200,351174036650200,48303000,123191000.0,20,30628.52738619129,5920972.221334268,986828.7035557114,7338800.924889983,43025911.451681376,5.862798554155683,5.862798554155683,124.42958095559185,124.42958095559185,1362.486283186494,65.07381914938479
8889633.76611934,351174174722900,351174222454600,47731700,123191000.0,21,30628.52738619129,5894719.19786039,982453.1996433984,7308172.397503791,42608195.01436847,5.830212082698253,5.830212082698253,130.2597930382901,130.2597930382901,1492.746076224784,65.41289946962969
9617323.208385415,351174333223100,351174409865900,76642800,123191000.0,22,30628.52738619129,5868466.174386512,978077.6957310854,7277543.8701176,42180971.42576092,5.7960449539796866,5.7960449539796866,136.05583799226977,136.05583799226977,1628.8019142170538,65.75969719722957
10351353.691514004,351174488674700,351174550356400,61681700,123191000.0,23,30628.52738619129,5842213.150912633,973702.1918187723,7246915.342731409,41747406.796290874,5.760714017193971,5.760714017193971,141.81655200946375,141.81655200946375,1770.6184662265175,66.11164224960356
11088619.718663493,351174643196200,351174770618100,127421900,123191000.0,24,30628.52738619129,5815960.127438755,969326.6879064593,7216286.8153452175,41310606.622799926,5.724634799015217,5.724634799015217,147.54118680847895,147.54118680847895,1918.1596530349964,66.4662137471082
11826099.255010616,351174832688600,351174863399100,30710500,123191000.0,25,30628.52738619129,5789707.103964876,964951.1839941463,7185658.287959026,40873592.940111324,5.688218295685312,5.688218295685312,153.22940510416427,153.22940510416427,2071.3890581391606,66.82095856019407
12560873.810445054,351174973124700,351175035440300,62315600,123191000.0,26,30628.52738619129,5763454.080490998,960575.6800818333,7155029.760572835,40439284.23833543,5.651868069252845,5.651868069252845,158.88127317341713,158.88127317341713,2230.2703313125776,67.17350761148506
14011251.927912684,351175191320800,351175205994900,14674100,123191000.0,28,30628.52738619129,5737201.05701712,956200.1761695202,7124401.233186644,40010478.27409818,5.6159776751094155,5.6159776751094155,164.49725084852653,164.49725084852653,2394.767582161104,67.52158982872272
14721676.217083063,351175375447500,351175407187100,31739600,123191000.0,29,30628.52738619129,5684695.010069363,947449.1683448942,7063144.178414261,39589837.82818487,5.5809284382361115,5.5809284382361115,170.07817928676263,170.07817928676263,2564.8457614478666,67.86304370596483
15419056.754360065,351175532968400,351175564579000,31610600,123191000.0,30,30628.52738619129,5658441.986595484,943073.6644325812,7032515.65102807,39179879.39267303,5.547087586348728,5.547087586348728,175.62526687311137,175.62526687311137,2740.471028320978,68.19582648677823
16101192.290891014,351175659723400,351175690197600,30474200,123191000.0,31,30628.52738619129,5632188.963121606,938698.1605202681,7001887.123641878,38782964.709054574,5.514806739660077,5.514806739660077,181.14007361277146,181.14007361277146,2921.6111019337495,68.51802103314806
16766045.267046994,351175831985700,351175863601400,31615700,123191000.0,32,30628.52738619129,5605935.939647728,934322.6566079551,6971258.596255687,38401295.02618215,5.484420749446266,5.484420749446266,186.62449436221772,186.62449436221772,3108.2355962959673,68.82784048657601
17411742.67147129,351175972555000,351176002100500,29545500,123191000.0,33,30628.52738619129,5579682.916173849,929947.1526956421,6940630.068869496,38036907.90368471,5.456246871133802,5.456246871133802,192.08074123335152,192.08074123335152,3300.316337529319,69.12363086290013
18036574.794745408,351176113252800,351176160640800,47388000,123191000.0,34,30628.52738619129,5553429.892699971,925571.6487833291,6910001.541483304,37691676.35291896,5.430584252282194,5.430584252282194,197.5113254856337,197.5113254856337,3497.8276630149526,69.40387174962542
18638992.125252523,351176269608100,351176300223200,30615100,123191000.0,35,30628.52738619129,5527176.8692260925,921196.144871016,6879373.014097113,37367310.08330337,5.407713711635741,5.407713711635741,202.91903919726946,202.91903919726946,3700.746702212222,69.66717529421518
19217600.642246768,351176428003200,351176472569700,44566500,123191000.0,36,30628.52738619129,5500923.845752214,916820.640958703,6848744.486710922,37065358.6064548,5.3878977823271095,5.3878977823271095,208.30693697959657,208.30693697959657,3909.0536391918185,69.91228368431558
19771155.761537887,351176565536700,351176613124200,47587500,123191000.0,37,30628.52738619129,5474670.822278336,912445.13704639,6818115.959324731,36787215.94311908,5.371380990267601,5.371380990267601,213.67831796986417,213.67831796986417,4122.731957161683,70.13806532691585
20298555.18363142,351176691187100,351176706832500,15645400,123191000.0,38,30628.52738619129,5448417.798804457,908069.633134077,6787487.431938539,36534126.6774865,5.358390337659329,5.358390337659329,219.0367083075235,219.0367083075235,4341.768665469206,70.34350993377234
20798830.883725177,351176784813800,351176847281400,62467600,123191000.0,39,30628.52738619129,5422164.775330579,903694.1292217639,6756858.904552348,36307193.1090515,5.349135961299599,5.349135961299599,224.3858442688231,224.3858442688231,4566.154509738029,70.52772271590335
21271140.468735974,351176940412100,351176971970500,31558400,123191000.0,40,30628.52738619129,5395911.7518567005,899318.6253094509,6726230.377166157,36107383.26261629,5.343811935793036,5.343811935793036,229.72965620461613,229.72965620461613,4795.884165942645,70.68991788148786
21714758.10954448,351177097798300,351177113512900,15714600,123191000.0,41,30628.52738619129,5369658.728382822,894943.1213971379,6695601.849779965,35935539.53126402,5.342597192813384,5.342597192813384,235.0722533974295,235.0722533974295,5030.956419340075,70.82941161995274
22129065.237845734,351177253309800,351177283847300,30537500,123191000.0,42,30628.52738619129,5343405.704908944,890567.6174848248,6664973.322393774,35792387.744114056,5.345656529037832,5.345656529037832,240.41790992646733,240.41790992646733,5271.374329266542,70.94561474124404
22513541.177216664,351177394280600,351177505187000,110906400,123191000.0,43,30628.52738619129,5317152.681435065,886192.1135725118,6634344.795007583,35678546.46947134,5.35314167719086,5.35314167719086,245.77105160365818,245.77105160365818,5517.145380870201,71.03802512401771
22867753.857981943,351177537384500,351177631226700,93842200,123191000.0,44,30628.52738619129,5290899.657961187,881816.6096601988,6603716.267621391,35594536.38375895,5.365192416671534,5.365192416671534,251.1362440203297,251.1362440203297,5768.28162489053,71.106220110431
23191350.74578056,351177693403900,351177737858000,44454100,123191000.0,45,30628.52738619129,5264646.634487309,877441.1057478858,6573087.7402352,35540789.5566522,5.381937702398248,5.381937702398248,256.51818172272795,256.51818172272795,6024.799806613258,71.14984896895699
23484050.094887048,351177848883800,351177879369000,30485200,123191000.0,46,30628.52738619129,5238393.61101343,873065.6018355727,6542459.212849009,35517658.52251212,5.403496792702362,5.403496792702362,261.9216785154303,261.9216785154303,6286.721485128688,71.16862553067016
23745632.61969813,351178038139600,351178097667100,59527500,123191000.0,47,30628.52738619129,5212140.587539552,868690.0979232597,6511830.685462818,35525425.027064174,5.429980359265261,5.429980359265261,267.35165887469554,267.35165887469554,6554.073144003383,71.16232108915085
23975933.661623504,351178221742200,351178269187900,47445700,123191000.0,48,30628.52738619129,5185887.564065673,864314.5940109467,6481202.158076626,35564308.35591163,5.461491564162798,5.461491564162798,272.8131504388583,272.8131504388583,6826.886294442242,71.13075763983437
24174835.91409599,351178410991900,351178426640900,15649000,123191000.0,49,30628.52738619129,5159634.540591795,859939.0900986337,6450573.630690435,35634473.167644784,5.498127091011729,5.498127091011729,278.31127752987004,278.31127752987004,7105.197571972112,71.07380152150337
24342262.755637884,351178598417800,351178599219400,801600,123191000.0,50,30628.52738619129,5133381.517117917,855563.5861863206,6419945.103304244,35736036.76883084,5.53997811897015,5.53997811897015,283.8512556488402,283.8512556488402,7389.048827620953,70.99135751083209
24478172.22991886,351178800516000,351178815434800,14918800,123191000.0,51,30628.52738619129,5107128.493644038,851188.0822740076,6389316.575918052,36033632.16032504,5.639669240390946,5.639669240390946,295.07805611913625,295.07805611913625,7973.565270618834,70.74978516261329
24655413.21632039,351178988692500,351179019874300,31181800,123191000.0,53,30628.52738619129,5080875.47017016,846812.5783616946,6358688.048531861,36229718.54141149,5.69767195133538,5.69767195133538,300.77572807047164,300.77572807047164,8274.340998689306,70.59061251113191
24696789.56225315,351179175425200,351179222941500,47516300,123191000.0,54,30628.52738619129,5028369.423222403,838061.5705370685,6297430.993759478,36457322.88124059,5.761216808946851,5.761216808946851,306.5369448794185,306.5369448794185,8580.877943568725,70.40585523192392
24706731.076022044,351179313924100,351179377467700,63543600,123191000.0,55,30628.52738619129,5002116.399748525,833686.0666247555,6266802.466373287,36716412.38896637,5.830379471462407,5.830379471462407,312.3673243508809,312.3673243508809,8893.245267919605,70.19553994288027
24685303.170183133,351179474698800,351179476931700,2232900,123191000.0,56,30628.52738619129,4975863.376274646,829310.5627124425,6236173.938987096,37006936.728856005,5.905234276559637,5.905234276559637,318.2725586274405,318.2725586274405,9211.517826547046,69.95970750391182
24632584.607294645,351179629004500,351179724318000,95313500,123191000.0,57,30628.52738619129,4949610.352800768,824935.0588001295,6205545.411600905,37328830.488353446,5.985854604693169,5.985854604693169,324.25841323213365,324.25841323213365,9535.77623977918,69.69841101350468
24548666.519554257,351179800345800,351179832364600,32018800,123191000.0,58,30628.52738619129,4923357.3293268895,820559.5548878164,6174916.884214713,37682014.90490048,6.072313133742628,6.072313133742628,330.3307263658763,330.3307263658763,9866.106966145057,69.4117144069774
24433652.179808944,351179973781700,351180004381500,30599800,123191000.0,59,30628.52738619129,4897104.305853011,816184.0509755034,6144288.356828522,38066398.8462994,6.164681980353562,6.164681980353562,336.49540834622985,336.49540834622985,10202.602374491285,69.09969166067374
24287657.52915899,351180129352600,351180191718800,62366200,123191000.0,60,30628.52738619129,4870851.282379133,811808.5470631904,6113659.829442331,38481879.03970325,6.2630327232178145,6.2630327232178145,342.75844106944766,342.75844106944766,10545.360815560733,68.7624266060806
24187477.39239261,351180317777100,351180363142600,45365500,123191000.0,61,30628.52738619129,4844598.258905254,807433.0431508773,6083031.302056139,38928339.54401174,6.367436303298979,6.367436303298979,349.12587737274663,349.12587737274663,10869.486692933478,68.40001335810916
23845013.667962015,351180505154700,351180567450600,62295900,123191000.0,62,30628.52738619129,4818345.235431376,803057.5392385643,6052402.774669948,39328985.53443666,6.46535971648592,6.46535971648592,355.59123708923255,355.59123708923255,11225.077930022711,68.07478993235166
23371449.707243104,351180690485300,351180706057200,15571900,123191000.0,63,30628.52738619129,4792092.2119574975,798682.0353262513,6021774.247283757,39971915.11252579,6.604305199219917,6.604305199219917,362.1955422884525,362.1955422884525,11587.273472311164,67.55289338301841
22887865.196009506,351180862818300,351180878966500,16148200,123191000.0,64,30628.52738619129,4765839.188483619,794306.5314139383,5991145.719897565,40745944.92690323,6.766435149122788,6.766435149122788,368.9619774375753,368.9619774375753,11956.23544974874,66.92457653001986
22394559.180525392,351181097786300,351181129656400,31870100,123191000.0,65,30628.52738619129,4739586.165009741,789931.0275016252,5960517.192511374,42323767.160938025,7.100687036707555,7.100687036707555,382.99455984679355,382.99455984679355,12715.123882405618,65.64378310027679
21891879.28201176,351181251267400,351181282099800,30832400,123191000.0,66,30628.52738619129,4713333.141535862,785555.5235893122,5929888.665125183,43126912.9131102,7.272803141608354,7.272803141608354,390.2673629884019,390.2673629884019,13105.39124539402,64.99183145431874
21380222.526702546,351181425627600,351181457461900,31834300,123191000.0,67,30628.52738619129,4687080.118061984,781180.0196769992,5899260.1377389915,43939035.52207795,7.448228166950857,7.448228166950857,397.71559115535274,397.71559115535274,13503.106836549372,64.33259286629871
20860035.98558495,351181613122600,351181661344000,48221400,123191000.0,68,30628.52738619129,4660827.094588106,776804.5157646862,5868631.6103528,44759687.91685408,7.626937740970812,7.626937740970812,405.34252889632353,405.34252889632353,13908.449365445696,63.6664302450227
20331817.187464,351181770530900,351181847177100,76646200,123191000.0,69,30628.52738619129,4634574.071114227,772429.0118523731,5838003.082966609,45588372.568633564,7.808898337454734,7.808898337454734,413.15142723377824,413.15142723377824,14321.600792679475,62.99374745830981
19253525.82043228,351181989825300,351182004823000,14997700,123191000.0,71,30628.52738619129,4608321.047640349,768053.5079400601,5807374.555580418,46424541.34135892,7.994067008601794,7.994067008601794,421.14549424238004,421.14549424238004,14742.746286921856,62.31498945429542
18704700.403041333,351182177227700,351182191327800,14100100,123191000.0,72,30628.52738619129,4582068.02416647,763678.0040277471,5776746.028194226,47267595.64298236,8.182391161440398,8.182391161440398,429.32788540382046,429.32788540382046,15172.074172325676,61.63064213864457
18150335.681765046,351182379708100,351182394468200,14760100,123191000.0,73,30628.52738619129,4529561.977218714,754926.996203121,5715488.973421844,48116886.91403184,8.373808385795368,8.373808385795368,437.70169378961583,437.70169378961583,15609.775866115291,60.94123197795957
17591177.16045337,351182536205200,351182565876100,29670900,123191000.0,74,30628.52738619129,4503308.953744835,750551.492290808,5684860.446035652,48971717.48896666,8.568246341948143,8.568246341948143,446.269940131564,446.269940131564,16056.045806246855,60.24732530057662
17028016.476187088,351182690796100,351182738162000,47365900,123191000.0,75,30628.52738619129,4477055.930270957,746175.988378495,5654231.918649461,49831341.86393688,8.765622716154247,8.765622716154247,455.03556284771827,455.03556284771827,16511.081369094572,59.54952726746526
16461689.22956113,351182800308200,351182815939800,15631600,123191000.0,76,30628.52738619129,4450802.906797078,741800.484466182,5623603.39126327,50694968.40186169,8.96584525205864,8.96584525205864,464.0014080997769,464.0014080997769,16975.082777194348,58.84848048813493
15893072.327556523,351182957870000,351183003477400,45607400,123191000.0,77,30628.52738619129,4424549.8833232,737424.9805538689,5592974.8638770785,51561761.50214619,9.168811865760595,9.168811865760595,473.17021996553746,473.17021996553746,17448.252997159885,58.14486325937269
15323080.821756296,351183113272900,351183144790600,31517700,123191000.0,78,30628.52738619129,4398296.859849322,733049.4766415559,5562346.336490887,52430844.25780934,9.374410851806335,9.374410851806335,482.5446308173438,482.5446308173438,17930.79762797723,57.439387408325814
14752664.231180832,351183268750600,351183300299800,31549200,123191000.0,79,30628.52738619129,4372043.836375443,728673.9727292429,5531717.809104696,53301301.61726809,9.582521186714569,9.582521186714569,492.12715200405836,492.12715200405836,18422.924779981287,56.73279572593121
14182802.346509444,351183442005000,351183471813100,29808100,123191000.0,80,30628.52738619129,4345790.812901565,724298.4688169298,5501089.281718505,55042511.79983203,10.005747767583424,10.005747767583424,511.92591270739564,511.92591270739564,19436.770857628497,55.319372519232715
